Date,APOLLOHOSP.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,APOLLOHOSP.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,APOLLOHOSP.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,APOLLOHOSP.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,APOLLOHOSP.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,APOLLOHOSP.NS,HDFCBANK.NS,HINDUNILVR.NS,INFY.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS
2020-01-15 00:00:00+00:00,1490.582275,1232.852417,1882.202271,690.706665,1207.723755,7184.9375,1368.843262,305.1985168,2039.182251,1511.949951,1284.25,2021.650024,767.5499878,1323.599976,7482.950195,1393.305908,324.25,2226.899902,1529,1287.949951,2027,773.8499756,1336.150024,7505,1407.980957,329.2000122,2231,1488,1274.099976,1997.349976,762.1500244,1320,7353,1388.185669,322.3500061,2194.199951,1488.300049,1286.400024,2011.150024,773.8499756,1325.599976,7388.950195,1404.277954,329,2213,932167,5893724,1559491,6047430,2127677,692726,7908929,32625740,2620681
2020-01-16 00:00:00+00:00,1569.057739,1236.116455,1907.898438,690.211731,1203.800293,7165.444824,1381.463989,304.3042908,2050.078857,1591.550049,1287.650024,2049.25,767,1319.300049,7462.649902,1406.152222,323.2999878,2238.800049,1607,1291,2054.699951,772.5,1332.900024,7521,1411.135376,326.8999939,2249,1518.050049,1279.349976,2016.099976,760.25,1317.400024,7421.200195,1397.100342,322.3500061,2215,1519.699951,1282.050049,2022,770.7000122,1327.699951,7456.5,1398.014771,324,2226.949951,2305288,3575200,2468958,5740586,1773135,640207,6423987,26653623,3117214
2020-01-17 00:00:00+00:00,1595.725342,1226.996704,1918.186523,690.9767456,1190.022217,7220.655762,1420.180054,299.3157043,2032.039429,1618.599976,1278.150024,2060.300049,767.8499756,1304.199951,7520.149902,1445.560059,318,2219.100098,1624,1284.900024,2063.899902,772.9000244,1325.949951,7569.899902,1449.171631,323.5,2253.550049,1580,1271.900024,2040.050049,762.25,1302,7432.549805,1420.141602,310.1000061,2213,1595.550049,1281.75,2055,770.7000122,1320.599976,7469,1420.415894,313,2240.75,893254,8459407,994719,3762957,2941837,750738,14731735,58396326,3281059
2020-01-20 00:00:00+00:00,1606.520508,1204.677002,1920.560303,691.5166016,1194.949341,7152.915527,1376.47876,295.5506897,1987.39917,1629.550049,1254.900024,2062.850098,768.4500122,1309.599976,7449.600098,1401.077759,314,2170.350098,1659,1304.849976,2075.899902,774.4000244,1319.900024,7529.5,1471.161377,321.4500122,2242.199951,1616.5,1252.5,2050,762.9500122,1306.5,7421.049805,1395.637451,313.3999939,2156.199951,1620,1304.849976,2060.5,771.5999756,1313.949951,7521.25,1471.161377,321,2194.899902,1047368,11089225,829399,3887680,2542477,407828,16272925,30682902,5817599
2020-01-21 00:00:00+00:00,1603.217773,1194.549438,1913.624268,686.1622925,1188.334106,7011.817871,1377.871094,295.2684021,1988.040161,1626.199951,1244.349976,2055.399902,762.5,1302.349976,7302.649902,1402.494995,313.7000122,2171.050049,1642.5,1250,2075,770.5,1313.900024,7434.649902,1413.421265,316.9500122,2186.550049,1621,1238.400024,2052.149902,760.75,1300.449951,7287.799805,1391.61438,312,2158.050049,1629.849976,1250,2059.75,768.4500122,1304.75,7411.5,1397.649048,313.7999878,2169.949951,317357,7492402,750000,4448374,1361576,442561,9461360,30591772,1902980
2020-01-22 00:00:00+00:00,1611.351196,1191.189453,1910.179321,693.0914307,1180.897461,6851.42041,1377.376953,297.5744019,2020.867798,1634.449951,1240.849976,2051.699951,770.2000122,1294.199951,7135.600098,1401.992065,316.1499939,2206.899902,1664,1255,2063.5,778,1312,7374.950195,1414.244141,317,2210,1626.5,1234.400024,2027.199951,766,1292,7107.950195,1399.934814,313.7000122,2173.699951,1643.650024,1248.050049,2063,768.4500122,1311,7340,1411.729736,317,2181,736367,9184155,983169,9733935,2449753,1048435,5161408,24994911,1773686
2020-01-23 00:00:00+00:00,1663.060059,1195.029419,1915.02063,705.8248291,1215.662231,6862.462402,1371.538208,304.2102051,2010.818359,1686.900024,1244.849976,2056.899902,784.3499756,1332.300049,7147.100098,1396.04895,323.2000122,2190.949951,1699.900024,1246.849976,2060.850098,785.5,1339.849976,7220,1409.855347,324.7999878,2217.75,1631.25,1231,2035,776.7000122,1306,7123.149902,1390.425781,314.1499939,2183.699951,1638.800049,1240,2051.75,777.0999756,1307,7145.399902,1404.872192,316,2209.800049,764590,5754460,708017,12528017,10056067,589326,5623869,33293610,2069866
2020-01-24 00:00:00+00:00,1645.11731,1194.741455,1930.662231,704.3851318,1240.207275,6844.554688,1366.777344,305.0102234,2003.889282,1668.699951,1244.550049,2073.699951,782.75,1359.199951,7128.450195,1391.203003,324.0499878,2183.399902,1697.550049,1254,2079,786.5,1367.849976,7210,1404.735107,327.2999878,2190.949951,1649.099976,1239.099976,2050.050049,773.5999756,1332,7111.25,1388.459961,321.1499939,2170,1690,1246,2057,775.75,1332,7148.799805,1396.186035,323.5,2190.949951,1023849,5915878,914993,7540490,5837319,645723,7314222,22706879,1319430
2020-01-27 00:00:00+00:00,1672.080811,1164.645996,1919.16394,700.2005005,1230.535156,6864.094238,1353.303101,297.62146,1990.902588,1696.050049,1213.199951,2061.350098,778.0999756,1348.599976,7148.799805,1377.487915,316.2000122,2169.25,1713,1235,2068.75,784.7999878,1364.900024,7225,1393.854492,322,2193.449951,1662,1211.75,2056.75,774.4000244,1340,7061,1376.070679,315.7999878,2165,1668,1235,2066,779.0499878,1340,7101.5,1385.122681,320.8999939,2189.699951,791549,9444276,429312,3741610,2510013,573149,6693875,23309355,1549101
2020-01-28 00:00:00+00:00,1654.039307,1174.24585,1918.465942,700.1105347,1228.755981,6718.387695,1322.042969,296.5860901,2004.210449,1677.75,1223.199951,2060.600098,778,1346.650024,6997.049805,1345.669189,315.1000061,2183.75,1704.800049,1227.800049,2065,781.7999878,1355,7219.950195,1380.642456,320,2187.800049,1673.800049,1213.25,2042.699951,772,1338,6963,1338.217407,311.0499878,2152,1695.900024,1218.800049,2062,781,1350.900024,7179.950195,1379.362305,317.9500122,2174,681671,6706079,777052,5121009,2352852,1614448,12266118,26488426,1743024
2020-01-29 00:00:00+00:00,1664.144409,1186.389526,1931.127563,710.6392822,1246.138062,6731.110352,1329.319092,297.856781,1977.457153,1688,1235.849976,2074.199951,789.7000122,1365.699951,7010.299805,1353.075317,316.4500122,2154.600098,1694.949951,1242,2085.800049,792.7999878,1374.949951,7116.25,1366.378784,319.7000122,2186.949951,1671.050049,1222.25,2062.050049,784.25,1352.099976,6975,1338.628784,315.5499878,2150,1687,1225.300049,2062.050049,786.5999756,1353.099976,7010,1347.772095,317.8500061,2185,230705,6894175,873433,6832757,3678474,1001252,12373282,23914114,2306761
2020-01-30 00:00:00+00:00,1666.904907,1176.981812,1916.138062,702.5402222,1250.244141,6740.855957,1296.891113,292.4446106,1962.084229,1690.800049,1226.050049,2058.100098,780.7000122,1370.199951,7020.450195,1320.067871,310.7000122,2137.850098,1709.75,1238.949951,2078,789.7000122,1376.800049,7049,1352.93811,316.75,2165,1680.25,1217.199951,2049.449951,778,1353,6981,1316.63916,305.6499939,2125,1685,1238.949951,2074.899902,789.7000122,1365.949951,7020,1352.298096,316.75,2160,634505,6055992,952768,3859680,2743506,579174,11201344,35802330,2098567
2020-01-31 00:00:00+00:00,1636.737305,1177.221802,1893.933228,698.2658081,1249.423096,6638.165527,1268.056396,299.7392883,1908.11792,1660.199951,1226.300049,2034.25,775.9500122,1369.300049,6913.5,1290.717773,318.4500122,2079.050049,1699.25,1237.800049,2068.25,784.9500122,1377,7064,1328.754028,321.7000122,2144.350098,1656.449951,1220.25,2020.050049,771.5999756,1360.449951,6895.549805,1286.649048,308.6000061,2071.600098,1699.199951,1231.449951,2064,780.5499878,1375.949951,7035,1328.525391,313.7000122,2139.399902,377299,5589134,1930834,6092028,3939306,868935,17375155,92656638,3287223
2020-02-03 00:00:00+00:00,1671.883423,1145.062378,2028.651855,690.5717163,1174.008667,6732.070313,1244.566284,280.5849609,1929.640259,1695.849976,1192.800049,2178.949951,767.4000244,1286.650024,7011.299805,1266.807983,298.1000061,2102.5,1717.599976,1197.949951,2195.550049,790.9500122,1303.900024,7044.850098,1280.020142,306.8500061,2194.699951,1616,1177.699951,2074.899902,764.5,1272,6780,1246.28125,295.3500061,2093.199951,1616,1197,2074.899902,782,1290,6780,1252.544434,303,2152,584886,6538505,4012542,6416745,5767353,1010531,15356145,56060158,4728073
2020-02-04 00:00:00+00:00,1647.434204,1180.581787,2006.91272,708.9744263,1178.662231,6912.87207,1281.30603,288.256073,1934.458862,1671.050049,1229.800049,2155.600098,787.8499756,1291.75,7199.600098,1304.204224,306.25,2107.75,1704.900024,1234,2204.199951,789.9000244,1307.300049,7215,1309.781616,307.5499878,2136.699951,1661,1198,2140,770.0999756,1287.550049,7001,1278.054321,297.1000061,2086.600098,1695.849976,1198,2177,770.0999756,1296,7020,1280.065796,302.8999939,2129,384789,10448852,1932121,5771311,3604309,973311,12691950,51141567,3509339
2020-02-05 00:00:00+00:00,1634.026123,1194.83728,2011.28894,706.0048828,1195.360107,6760.491699,1301.157837,292.7269897,1970.069092,1657.449951,1244.650024,2160.300049,784.5499878,1310.050049,7040.899902,1324.410889,311,2146.550049,1681,1248,2184,786,1325,7231.600098,1328.342529,313.6499939,2156.699951,1650,1227.300049,2153.899902,774.4000244,1295,7025.600098,1307.770142,304.6000061,2104.300049,1681,1234.900024,2167.399902,781,1297.900024,7215,1311.975952,306.8999939,2115,438855,9010341,1514368,6310409,4220104,718489,9236050,35014841,2439322
2020-02-06 00:00:00+00:00,1621.801392,1190.181519,2007.657471,694.1262817,1202.249268,6741.960449,1309.511963,303.0335999,1953.365479,1645.050049,1239.800049,2156.399902,771.3499756,1317.599976,7021.600098,1332.914185,321.9500122,2128.350098,1665.699951,1248.699951,2196.25,786.7999878,1325,7120.350098,1341.32605,323.5,2174.199951,1622.199951,1237.199951,2134.050049,770,1309.050049,6976.799805,1316.730591,310.1000061,2115.5,1665.699951,1244.650024,2166,784.3499756,1322.900024,7075,1329.53125,311.2000122,2145,552992,5913775,1302116,7341622,2354458,875714,7769288,57757656,2640065
2020-02-07 00:00:00+00:00,1639.64563,1192.485352,2010.963013,699.4806519,1185.277466,6694.095703,1287.818604,301.7158813,1960.890991,1663.150024,1242.199951,2159.949951,777.2999878,1299,6971.75,1310.83313,320.5499878,2136.550049,1678.5,1247,2172,778.8499756,1314.400024,7050,1327.931152,325,2151,1628,1231.599976,2141.600098,771,1296,6935,1305.941406,318.3999939,2119,1649.800049,1246,2165,775.9500122,1313.050049,7039,1326.696777,321.5,2139,554048,3407724,908152,2853344,3053804,645814,6104606,37126803,2083442
2020-02-10 00:00:00+00:00,1642.159424,1190.661499,2010.357666,695.7911377,1172.776978,6618.38623,1289.57019,299.7863159,1984.202637,1665.699951,1240.300049,2159.300049,773.2000122,1285.300049,6892.899902,1312.616089,318.5,2161.949951,1701.599976,1242.949951,2189.550049,778,1302.449951,6989.100098,1321.667969,322.7999878,2167,1634.5,1226.050049,2151.699951,769.75,1273.099976,6851.100098,1289.620605,316.5,2119,1663,1242.949951,2160.100098,774,1300,6975,1305.667114,319.7999878,2140.899902,778081,4609917,1389847,3827682,3039992,593773,7571238,24816396,2383032
2020-02-11 00:00:00+00:00,1673.953979,1190.949341,2004.166138,696.1061401,1174.236572,6753.625977,1304.975708,305.2926025,1976.355591,1697.949951,1240.599976,2152.649902,773.5499878,1286.900024,7033.75,1328.296875,324.3500061,2153.399902,1702.900024,1255,2179.649902,779.0999756,1298.949951,7089,1340.594604,325.7999878,2174.800049,1669,1238.050049,2147.699951,769.2000122,1284,6912.299805,1321.25647,321.0499878,2147.600098,1670.5,1243.300049,2169,779,1292,6950,1323.405151,321.0499878,2163,606839,5806760,777506,4312817,2200796,743160,6999908,30188757,1335820
2020-02-12 00:00:00+00:00,1659.806641,1199.013306,2104.437744,702.8552246,1183.726318,6762.795898,1320.740356,301.3864441,1992.279053,1683.599976,1249,2260.350098,781.0499878,1297.300049,7043.299805,1344.343384,320.2000122,2170.75,1716.949951,1252.900024,2272,783.25,1299.849976,7110,1348.503662,329.8999939,2185,1670.550049,1244.050049,2155,775.0999756,1280,7007.950195,1330.354126,319.25,2150,1705,1245.199951,2157.100098,775.7999878,1289.099976,7056.100098,1331.40564,329.8999939,2151.100098,728165,3148965,4753325,2948825,2568696,599364,6766782,38930849,1620407
2020-02-13 00:00:00+00:00,1671.538452,1191.717285,2125.897705,712.9338989,1179.118286,6726.069336,1324.198853,308.2104797,2011.736206,1695.5,1241.400024,2283.399902,792.25,1292.25,7005.049805,1347.863525,327.4500122,2191.949951,1707,1259.900024,2288.949951,794,1299.849976,7056,1351.155151,330.9500122,2197,1655,1233.599976,2233.050049,782.2000122,1285,6925,1337.302979,322,2171,1675,1259.900024,2256,785,1299,7050,1351.155151,322,2172.949951,902548,4556070,2950407,4387430,1545536,723169,6782829,62516057,1645948
2020-02-14 00:00:00+00:00,1680.312744,1170.549927,2099.503418,707.7146606,1181.764526,6638.453613,1336.280762,300.6334229,2004.623047,1704.400024,1219.349976,2255.050049,786.4500122,1295.150024,6913.799805,1360.161377,319.3999939,2184.199951,1747.699951,1248.400024,2297.600098,799.2000122,1304.949951,7088.950195,1372.824829,331.8999939,2212,1674.449951,1215,2246.25,784.5999756,1290.599976,6901,1328.616821,318.5499878,2171,1721,1243.199951,2273,794.5,1295,7000.049805,1350.697998,328.1000061,2188,3179224,7344429,1728651,5321680,1780119,614859,10613920,48205947,1500115
2020-02-17 00:00:00+00:00,1690.812378,1168.437988,2097.222168,710.4142456,1168.123413,6631.684082,1327.881714,295.7389832,2022.106689,1715.050049,1217.150024,2252.600098,789.4500122,1280.199951,6906.75,1351.612305,314.2000122,2203.25,1737,1233,2289,793.4500122,1297.849976,6980,1377.122192,321.1499939,2217,1700.099976,1214.449951,2243.199951,783.2999878,1277,6880,1348.000732,311.6499939,2190.199951,1727,1225,2248,790.2999878,1297,6920,1361.441406,320.9500122,2196.949951,808709,5076345,1420851,2929629,2155085,463548,6574565,36950692,1774724
2020-02-18 00:00:00+00:00,1749.816406,1164.694092,2080.277344,717.793335,1173.734741,6511.038574,1318.135376,298.8921204,2033.578979,1774.900024,1213.25,2234.399902,797.6500244,1286.349976,6781.100098,1341.691772,317.5499878,2215.75,1784.400024,1218.5,2262.949951,799.0499878,1289.800049,6930,1349.463623,319.2000122,2221,1704.800049,1203.5,2222.100098,783.6500244,1266.449951,6735.799805,1332.548462,309.3999939,2186.050049,1716,1216.900024,2252.600098,785,1281.5,6925,1349.463623,315.3999939,2199.949951,1860803,5264558,1194605,5083346,2347917,830678,5563580,38588583,2486223
2020-02-19 00:00:00+00:00,1755.33728,1178.085571,2134.044189,720.3129272,1169.218262,6487.514648,1350.832764,301.5276489,2015.773682,1780.5,1227.199951,2292.149902,800.4500122,1281.400024,6756.600098,1374.973511,320.3500061,2196.350098,1792.599976,1230,2308.199951,804.8499756,1299,6854.950195,1377.396484,324,2230,1750.699951,1213.900024,2241.25,796.1500244,1276.599976,6624.600098,1348.732178,317.25,2190.5,1774.900024,1222.5,2250.199951,800,1298,6850,1352.618042,322.2999878,2215.75,1029649,5006134,1299800,3985192,1820353,1033939,7042204,39846727,1760463
2020-02-20 00:00:00+00:00,1775.251831,1168.389893,2093.172119,717.208313,1168.488281,6488.474609,1334.798584,308.3986816,1979.47583,1800.699951,1217.099976,2248.25,797,1280.599976,6757.600098,1358.65271,327.6499939,2156.800049,1813.449951,1230,2289.949951,806.0999756,1288.900024,6807.549805,1378.813721,329.2000122,2214.399902,1778.25,1214.099976,2242.5,793.8499756,1275.300049,6720,1356.68689,318.75,2151.25,1790,1230,2282.199951,803.25,1279.900024,6761,1368.756104,319.3500061,2204.5,799535,5561707,1555224,4564569,3034681,682513,8446134,40150409,2317278
2020-02-24 00:00:00+00:00,1772.047729,1161.526001,2062.355225,716.1734619,1149.417969,6212.712402,1297.969116,303.974884,1941.434082,1797.449951,1209.949951,2215.149902,795.8499756,1259.699951,6470.399902,1321.165039,322.9500122,2115.350098,1813.550049,1214.75,2262,811.5999756,1271.900024,6710,1350.46936,331.2999878,2178.949951,1764.25,1200,2210.100098,792.1500244,1252.650024,6439.799805,1316.227661,321.8500061,2106.699951,1796,1208.949951,2236.800049,800.0999756,1271.900024,6710,1343.840454,325.75,2156,708469,8284042,1409245,6627536,3414064,1091346,10685107,45273936,3092877
